date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,12,0,12
03/13/2020,13,0,13
03/14/2020,19,0,19
03/15/2020,28,0,28
03/16/2020,33,1,32
03/17/2020,47,2,45
03/18/2020,60,3,57
03/19/2020,81,3,78
03/20/2020,127,1,126
03/21/2020,175,3,172
03/22/2020,197,3,194
03/23/2020,302,5,297
03/24/2020,346,5,341
03/25/2020,429,7,422
03/26/2020,461,9,452
03/27/2020,545,13,532
03/28/2020,668,15,653
03/29/2020,784,16,768
03/30/2020,937,18,919
03/31/2020,1097,22,1075
04/01/2020,1310,26,1284
04/02/2020,1575,31,1544
04/03/2020,1723,34,1689
04/04/2020,1943,40,1903
04/05/2020,2077,44,2033
04/06/2020,2263,48,2215
04/07/2020,2451,51,2400
04/08/2020,2588,63,2525
04/09/2020,2831,67,2764
04/10/2020,3108,72,3036
04/11/2020,3252,80,3172
04/12/2020,3366,82,3284
04/13/2020,3488,87,3401
04/14/2020,3604,97,3507
04/15/2020,3708,107,3601
04/16/2020,3987,109,3878
04/17/2020,4144,116,4028
04/18/2020,4306,119,1449
04/19/2020,4439,120,1581
04/20/2020,4502,124,1640
04/21/2020,4673,135,1800
04/22/2020,4828,140,1950
04/23/2020,4986,150,2098
04/24/2020,5141,157,1283
04/25/2020,5327,166,1460
04/26/2020,5567,174,1692
04/27/2020,5692,177,1814
04/28/2020,5816,192,1923
04/29/2020,5964,232,2031
04/30/2020,6181,244,2236
05/01/2020,6346,256,1209
05/02/2020,6580,267,1432
05/03/2020,6719,275,1563
05/04/2020,6852,283,1688
05/05/2020,6937,296,1760
05/06/2020,7033,305,1847
05/07/2020,7242,316,2045
05/08/2020,7470,320,2269
05/09/2020,7636,330,2425
05/10/2020,7760,331,2548
05/11/2020,7901,346,2674
05/12/2020,8038,355,2802
05/13/2020,8142,362,2899
05/14/2020,8303,371,3051
05/15/2020,8524,380,3068
05/16/2020,8782,380,2359
05/17/2020,8939,385,2511
05/18/2020,9067,391,2633
05/19/2020,9183,399,2741
05/20/2020,9304,407,2854
05/21/2020,9511,416,3052
05/22/2020,9774,419,3312
05/23/2020,10035,425,3567
