date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,8,1,7
03/13/2020,9,1,8
03/14/2020,9,1,8
03/15/2020,9,1,8
03/16/2020,10,1,9
03/17/2020,11,1,10
03/18/2020,11,1,10
03/19/2020,11,1,10
03/20/2020,14,1,13
03/21/2020,14,1,13
03/22/2020,21,1,20
03/23/2020,28,1,21
03/24/2020,30,1,21
03/25/2020,41,1,27
03/26/2020,46,1,32
03/27/2020,58,1,36
03/28/2020,68,1,41
03/29/2020,90,1,60
03/30/2020,101,1,66
03/31/2020,108,1,73
04/01/2020,129,2,76
04/02/2020,166,2,107
04/03/2020,188,2,118
04/04/2020,213,2,135
04/05/2020,241,4,153
04/06/2020,290,4,195
04/07/2020,323,6,219
04/08/2020,397,6,245
04/09/2020,452,6,285
04/10/2020,542,6,359
04/11/2020,634,6,439
04/12/2020,740,6,538
04/13/2020,880,6,667
04/14/2020,1002,6,735
04/15/2020,1185,6,850
04/16/2020,1330,7,950
04/17/2020,1432,7,968
04/18/2020,1565,7,1006
04/19/2020,1660,7,1101
04/20/2020,1711,7,995
04/21/2020,1782,8,950
04/22/2020,1887,9,941
04/23/2020,1987,9,914
04/24/2020,2072,10,872
04/25/2020,2181,10,981
04/26/2020,2247,11,1046
04/27/2020,2281,11,954
04/28/2020,2350,11,947
04/29/2020,2411,13,906
04/30/2020,2488,17,898
05/01/2020,2565,21,858
05/02/2020,2629,21,849
05/03/2020,2673,21,853
05/04/2020,2711,21,860
05/05/2020,2765,24,846
05/06/2020,2824,29,818
05/07/2020,2952,31,893
05/08/2020,3195,31,1095
05/09/2020,3448,34,1289
05/10/2020,3448,34,1289
05/11/2020,3574,34,1353
05/12/2020,3722,39,1374
05/13/2020,3792,39,1386
05/14/2020,3853,43,1373
05/15/2020,3950,44,1332
05/16/2020,4023,44,1306
05/17/2020,4051,44,1334
05/18/2020,4092,44,1264
05/19/2020,4151,46,1321
05/20/2020,4245,46,1176
05/21/2020,4319,48,1126
05/22/2020,4427,50,1110
05/23/2020,4541,50,1155
05/24/2020,4638,50,1217
05/25/2020,4661,50,1196
05/26/2020,4729,50,1151
05/27/2020,4787,54,1114
05/28/2020,4871,54,1119
05/29/2020,4945,59,1142
05/30/2020,5041,62,1174
05/31/2020,5075,62,1176
