date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,18,0,18
03/13/2020,26,0,26
03/14/2020,32,0,32
03/15/2020,39,0,39
03/16/2020,52,0,52
03/17/2020,74,0,74
03/18/2020,100,0,100
03/19/2020,154,0,154
03/20/2020,233,1,232
03/21/2020,371,1,370
03/22/2020,505,3,502
03/23/2020,615,4,611
03/24/2020,773,4,769
03/25/2020,906,5,901
03/26/2020,1098,6,1092
03/27/2020,1203,10,1193
03/28/2020,1512,12,1500
03/29/2020,1720,16,1652
03/30/2020,1928,22,1854
03/31/2020,2389,28,2240
04/01/2020,2683,36,2510
04/02/2020,3194,44,2930
04/03/2020,3194,50,2896
04/04/2020,3321,66,2995
04/05/2020,3633,70,3268
04/06/2020,3802,80,3366
04/07/2020,4138,87,3585
04/08/2020,4362,94,3641
04/09/2020,4634,110,3603
04/10/2020,4862,115,3826
04/11/2020,5114,117,3611
04/12/2020,5308,124,3680
04/13/2020,5610,132,3807
04/14/2020,5823,140,3714
04/15/2020,6079,150,3733
04/16/2020,6262,156,3910
04/17/2020,6589,162,3410
04/18/2020,6762,165,3363
04/19/2020,7070,167,3669
04/20/2020,7238,170,3834
04/21/2020,7394,174,3392
04/22/2020,7842,179,3651
04/23/2020,8266,182,3891
04/24/2020,8726,192,4164
04/25/2020,9189,197,4525
04/26/2020,9667,203,4937
04/27/2020,9918,207,4991
04/28/2020,10052,212,4919
04/29/2020,10366,218,5008
04/30/2020,10735,223,5174
05/01/2020,11891,228,6117
05/02/2020,12661,233,6710
05/03/2020,13177,238,7125
05/04/2020,13571,247,7243
05/05/2020,13690,253,7081
05/06/2020,13938,263,7088
05/07/2020,14096,266,7047
05/08/2020,14441,274,7156
05/09/2020,14768,280,7119
05/10/2020,14985,288,7328
05/11/2020,15544,292,7214
05/12/2020,16111,296,7479
05/13/2020,16370,304,7436
05/14/2020,16699,315,7503
05/15/2020,16970,329,7352
05/16/2020,17288,337,7422
05/17/2020,17388,343,7393
05/18/2020,18011,350,7775
05/19/2020,18378,354,7055
05/20/2020,18532,356,6393
05/21/2020,18961,361,6817
05/22/2020,19394,370,6458
05/23/2020,19789,373,6671
05/24/2020,20145,379,7021
05/25/2020,20607,389,7145
05/26/2020,20965,395,7236
05/27/2020,21306,399,6991
05/28/2020,21679,406,7357
05/29/2020,22085,410,7759
05/30/2020,22566,417,6956
05/31/2020,23006,427,7386
06/01/2020,23554,432,7929
06/02/2020,24375,438,8021
06/03/2020,24822,445,8461
06/04/2020,25120,453,8024
06/05/2020,25520,456,8139
06/06/2020,26071,462,8485
06/07/2020,26381,472,8687
06/08/2020,26944,477,9245
06/09/2020,27575,482,9080
06/10/2020,27869,486,8867
06/11/2020,28340,487,9337
06/12/2020,29126,492,9209
06/13/2020,29541,496,9314
06/14/2020,30432,503,10033
06/15/2020,31160,512,10752
06/16/2020,31830,527,10593
06/17/2020,32143,533,10900
06/18/2020,32829,543,10337
06/19/2020,34017,548,11520
06/20/2020,34446,556,11052
06/21/2020,35102,562,11473
06/22/2020,35553,572,11414
06/23/2020,36303,578,11657
06/24/2020,37235,583,11959
06/25/2020,38034,590,12164
06/26/2020,39444,599,13092
06/27/2020,40172,613,13400
06/28/2020,40172,621,13392
06/29/2020,42297,629,14706
06/30/2020,43509,637,15273
07/01/2020,45315,649,16383
07/02/2020,46890,662,17290
07/03/2020,48712,671,18450
07/04/2020,50140,683,19414
07/05/2020,51431,700,20477
07/06/2020,52155,718,20417
07/07/2020,53514,729,20958
07/08/2020,55986,747,22503
07/09/2020,57591,759,23223
07/10/2020,59546,776,24030
07/11/2020,61006,793,24778
07/12/2020,61960,806,25299
07/13/2020,65274,823,27455
07/14/2020,66788,842,27674
07/15/2020,69061,853,28351
07/16/2020,71540,870,29420
07/17/2020,73819,889,30196
07/18/2020,76336,905,31725
07/19/2020,78115,922,32874
07/20/2020,79754,938,32842
07/21/2020,81944,958,33134
07/22/2020,84417,975,33694
07/23/2020,86987,1005,34321
07/24/2020,89078,1032,35063
07/25/2020,90796,1060,35928
07/26/2020,93936,1080,38126
07/27/2020,96489,1101,38149
07/28/2020,99044,1118,40687
07/29/2020,100822,1139,37554
07/30/2020,102871,1171,37466
07/31/2020,105959,1200,38402
08/01/2020,108184,1227,39306
08/02/2020,109627,1250,39906
08/03/2020,110636,1287,38471
08/04/2020,112441,1312,37870
08/05/2020,114098,1332,37216
08/06/2020,116350,1349,37443
08/07/2020,118782,1374,38051
08/08/2020,120585,1399,38846
08/09/2020,122712,1420,40295
08/10/2020,123914,1434,39310
08/11/2020,124915,1463,38139
08/12/2020,126393,1489,37614
08/13/2020,128511,1513,37847
08/14/2020,130458,1537,37598
08/15/2020,131747,1559,38088
08/16/2020,133708,1588,39465
08/17/2020,134744,1618,38314
08/18/2020,135778,1637,37245
08/19/2020,137800,1653,37062
08/20/2020,139175,1675,36533
08/21/2020,140844,1695,36463
08/22/2020,142083,1715,36942
08/23/2020,143937,1732,38151
08/24/2020,144604,1756,36807
08/25/2020,145417,1791,35591
08/26/2020,147353,1815,35773
08/27/2020,149179,1845,35918
08/28/2020,150815,1870,35632
08/29/2020,152280,1893,36288
08/30/2020,153115,1918,36428
08/31/2020,154933,1934,36135
09/01/2020,156329,1958,35486
09/02/2020,157831,1980,35176
09/03/2020,159546,2003,15975
09/04/2020,160597,2025,15416
09/05/2020,162362,2046,15933
09/06/2020,164126,2067,16700
09/07/2020,165109,2102,16794
09/08/2020,165754,2119,15470
09/09/2020,166587,2144,14745
09/10/2020,168237,2167,14868
09/11/2020,169859,2190,14995
09/12/2020,170891,2218,13726
09/13/2020,171824,2253,13706
09/14/2020,174274,2267,15199
09/15/2020,175231,2294,14277
09/16/2020,177087,2311,14574
09/17/2020,178140,2332,14101
09/18/2020,180497,2358,14958
09/19/2020,181439,2386,14071
09/20/2020,183514,2404,15266
09/21/2020,184409,2430,15305
09/22/2020,185148,2450,14920
09/23/2020,186709,2470,14590
09/24/2020,187544,2498,13893
09/25/2020,189454,2518,14318
09/26/2020,190891,2541,14306
09/27/2020,192995,2564,15288
09/28/2020,193732,2588,15114
09/29/2020,194611,2614,14052
09/30/2020,196139,2628,14179
10/01/2020,197432,2654,13997
10/02/2020,198403,2675,13562
10/03/2020,199595,2697,13365
10/04/2020,201210,2715,14091
10/05/2020,203699,2744,15734
10/06/2020,205375,2769,15580
10/07/2020,207455,2796,16083
10/08/2020,209447,2824,16633
10/09/2020,211003,2850,16502
10/10/2020,212649,2876,16815
10/11/2020,214717,2905,17963
10/12/2020,217682,2933,19913
10/13/2020,218829,2969,18920
10/14/2020,220538,3005,19068
10/15/2020,222827,3042,19621
10/16/2020,223493,3083,18579
10/17/2020,226139,3112,19441
10/18/2020,228744,3139,20879
10/19/2020,232061,3160,23069
10/20/2020,233569,3193,22194
10/21/2020,235861,3230,22388
10/22/2020,237907,3268,22084
10/23/2020,241513,3296,23583
10/24/2020,244087,3329,24014
10/25/2020,247587,3374,26146
10/26/2020,249866,3416,27220
10/27/2020,251774,3447,25979
10/28/2020,254220,3493,25905
10/29/2020,256880,3531,26078
10/30/2020,259488,3569,26250
10/31/2020,260672,3609,25176
11/01/2020,261426,3638,24613
11/02/2020,264587,3670,26457
11/03/2020,266357,3708,24913
11/04/2020,269802,3753,25462
11/05/2020,271771,3803,24476
11/06/2020,273144,3843,22909
11/07/2020,278215,3890,25163
11/08/2020,281851,3923,27110
11/09/2020,287770,3963,31292
11/10/2020,289749,4005,29601
11/11/2020,293381,4055,29888
11/12/2020,296725,4105,30093
11/13/2020,300458,4141,30858
11/14/2020,305120,4184,32568
11/15/2020,310937,4244,36602
11/16/2020,318888,4292,42732
11/17/2020,320729,4343,39889
11/18/2020,325201,4411,40859
11/19/2020,328088,4454,39849
11/20/2020,331532,4511,39113
11/21/2020,335887,4578,39490
11/22/2020,340476,4652,41593
11/23/2020,344550,4711,43247
11/24/2020,345854,4780,37840
11/25/2020,347972,4846,34560
11/26/2020,352376,4910,34581
11/27/2020,356716,4957,33236
11/28/2020,363466,5037,35053
11/29/2020,366518,5099,35426
11/30/2020,374493,5157,40626
12/01/2020,380186,5237,38818
12/02/2020,384285,5305,36865
12/03/2020,388252,5372,35468
12/04/2020,392608,5444,35611
12/05/2020,397522,5527,34648
12/06/2020,400594,5605,34837
12/07/2020,408730,5691,40221
12/08/2020,414749,5763,37823
12/09/2020,422962,5842,40269
12/10/2020,428973,5904,40625
12/11/2020,436262,5980,46804
12/12/2020,442953,6048,49510
12/13/2020,454305,6128,57286
12/14/2020,464624,6213,64264
12/15/2020,472875,6289,61989
12/16/2020,484285,6355,66087
12/17/2020,493230,6440,68066
12/18/2020,503651,6531,71856
12/19/2020,509998,6627,71968
12/20/2020,519687,6720,77990
12/21/2020,529578,6821,84721
12/22/2020,534019,6925,79098
12/23/2020,541240,7033,78621
12/24/2020,546497,7130,76673
12/25/2020,555727,7236,78805
12/26/2020,560892,7317,76875
12/27/2020,564080,7409,76444
12/28/2020,567792,7496,76771
12/29/2020,572589,7585,71261
12/30/2020,580809,7684,71434
12/31/2020,586802,7783,70105
01/01/2021,595582,7882,71691
01/02/2021,604132,7980,73063
01/03/2021,608297,8067,73264
01/04/2021,612250,8171,73585
01/05/2021,617649,8279,70163
01/06/2021,625237,8394,68005
01/07/2021,634237,8510,70093
01/08/2021,640606,8600,72381
01/09/2021,646450,8716,77092
01/10/2021,653869,8805,79867
01/11/2021,657396,8912,79574
01/12/2021,660874,9014,72515
01/13/2021,665499,9113,67412
01/14/2021,670482,9190,64409
01/15/2021,676039,9296,63805
01/16/2021,680847,9386,65865
01/17/2021,685321,9473,65052
01/18/2021,687751,9563,63468
01/19/2021,689808,9643,55859
01/20/2021,694291,9742,51121
01/21/2021,697783,9829,48510
01/22/2021,701847,9936,45767
01/23/2021,705876,10010,44583
01/24/2021,708717,10082,44300
01/25/2021,710427,10164,43232
01/26/2021,712406,10239,39634
01/27/2021,715806,10322,37463
01/28/2021,717583,10384,35089
01/29/2021,722491,10454,35159
01/30/2021,724742,10508,33387
01/31/2021,727861,10558,34008
02/01/2021,729187,10606,33419
02/02/2021,731360,10658,31739
02/03/2021,733216,10701,28808
02/04/2021,736370,10741,28519
02/05/2021,739031,10790,27621
02/06/2021,742213,10840,27947
02/07/2021,744600,10898,28210
02/08/2021,745826,10924,27804
02/09/2021,747462,10961,25759
02/10/2021,750409,11001,25341
02/11/2021,752033,11037,24860
02/12/2021,754279,11072,24458
02/13/2021,756071,11099,23995
02/14/2021,757418,11132,23688
02/15/2021,758561,11163,23367
02/16/2021,759523,11190,21423
02/17/2021,760303,11221,19453
02/18/2021,761301,11260,18250
02/19/2021,762673,11290,17231
02/20/2021,764008,11319,16389
02/21/2021,765137,11339,16163
02/22/2021,766089,11370,15988
02/23/2021,767315,11393,14865
02/24/2021,768946,11414,14278
02/25/2021,770940,11433,14307
02/26/2021,772513,11456,14103
02/27/2021,773887,11468,13680
02/28/2021,775004,11484,13657
03/01/2021,775693,11497,13441
03/02/2021,776337,11512,13049
03/03/2021,777935,11523,13446
03/04/2021,779449,11544,13440
03/05/2021,780894,11562,13858
03/06/2021,782206,11581,13832
03/07/2021,783484,11601,13844
03/08/2021,783904,11625,13254
03/09/2021,785242,11651,12681
03/10/2021,786597,11671,12462
03/11/2021,788109,11696,12443
03/12/2021,789652,11709,12502
03/13/2021,791282,11728,12756
03/14/2021,791989,11740,12480
03/15/2021,792795,11752,12412
03/16/2021,794137,11758,12368
03/17/2021,795963,11767,12732
03/18/2021,796624,11783,12176
03/19/2021,798621,11797,13007
03/20/2021,800202,11803,13397
03/21/2021,800913,11809,13308
03/22/2021,801645,11819,13278
03/23/2021,803104,11828,13456
03/24/2021,804492,11837,13503
03/25/2021,806011,11840,13733
03/26/2021,806792,11843,13534
03/27/2021,807687,11853,13224
03/28/2021,808404,11856,13167
03/29/2021,809692,11858,13567
03/30/2021,810529,11866,12985
03/31/2021,811842,11894,12989
04/01/2021,813614,11904,13495
