date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,18,0,18
03/13/2020,30,0,30
03/14/2020,41,1,40
03/15/2020,45,1,44
03/16/2020,51,2,48
03/17/2020,67,2,64
03/18/2020,79,2,76
03/19/2020,99,2,96
03/20/2020,123,2,120
03/21/2020,152,2,149
03/22/2020,219,3,215
03/23/2020,254,7,246
03/24/2020,290,7,281
03/25/2020,391,9,380
03/26/2020,460,13,445
03/27/2020,604,14,588
03/28/2020,739,17,720
03/29/2020,890,22,866
03/30/2020,1020,25,993
03/31/2020,1250,27,1221
04/01/2020,1484,34,1448
04/02/2020,1706,41,1663
04/03/2020,2012,46,1964
04/04/2020,2407,51,2354
04/05/2020,2637,51,2584
04/06/2020,2878,54,2822
04/07/2020,3333,63,3268
04/08/2020,3645,75,3568
04/09/2020,4042,109,3931
04/10/2020,4509,121,4386
04/11/2020,5077,130,4945
04/12/2020,5274,141,5131
04/13/2020,5747,149,5131
04/14/2020,6171,154,5296
04/15/2020,6500,195,5584
04/16/2020,6889,208,5730
04/17/2020,7491,231,6150
04/18/2020,8053,258,6685
04/19/2020,8537,277,6993
04/20/2020,8990,300,7366
04/21/2020,9630,324,7982
04/22/2020,10266,349,8593
04/23/2020,10998,372,9059
04/24/2020,11594,410,9512
04/25/2020,12366,436,10258
04/26/2020,12970,448,10707
04/27/2020,13535,458,11262
04/28/2020,14339,492,12032
04/29/2020,14961,522,12397
04/30/2020,15846,552,13190
05/01/2020,16901,581,14124
05/02/2020,17731,616,14803
05/03/2020,18671,660,15514
05/04/2020,19492,684,16311
05/05/2020,20256,713,17046
05/06/2020,20256,713,16809
05/07/2020,21570,769,18067
05/08/2020,22342,812,18533
05/09/2020,23196,827,19245
05/10/2020,24081,839,20118
05/11/2020,25070,850,21096
05/12/2020,25800,891,21785
05/13/2020,26746,927,22265
05/14/2020,27813,955,23180
05/15/2020,28672,977,24017
05/16/2020,29683,1002,25003
05/17/2020,30388,1009,25386
05/18/2020,31140,1014,26019
05/19/2020,32145,1041,26833
05/20/2020,32908,1074,27563
05/21/2020,34137,1099,28767
05/22/2020,34950,1136,28851
05/23/2020,35749,1159,29543
05/24/2020,36244,1171,29971
05/25/2020,37727,1208,31374
05/26/2020,39342,1236,32879
05/27/2020,40249,1281,33601
05/28/2020,41401,1338,34591
05/29/2020,42533,1358,35527
05/30/2020,43611,1370,36496
05/31/2020,44607,1375,37364
06/01/2020,45398,1392,38107
06/02/2020,46239,1407,38821
06/03/2020,46905,1428,39312
06/04/2020,47856,1445,40127
06/05/2020,48532,1453,40687
06/06/2020,49397,1460,41545
06/07/2020,50681,1472,42671
06/08/2020,51251,1477,43217
06/09/2020,51738,1496,43565
06/10/2020,52177,1514,43837
06/11/2020,52647,1520,44232
06/12/2020,53211,1534,44782
06/13/2020,53869,1541,45197
06/14/2020,54506,1546,45782
06/15/2020,54886,1552,46104
06/16/2020,55331,1570,46420
06/17/2020,55775,1583,46851
06/18/2020,56238,1586,47159
06/19/2020,56793,1602,47628
06/20/2020,57443,1607,48229
06/21/2020,57994,1611,48737
06/22/2020,58465,1620,49182
06/23/2020,58994,1645,49624
06/24/2020,59514,1661,50088
06/25/2020,59946,1675,50453
06/26/2020,60570,1700,51002
06/27/2020,61247,1724,51555
06/28/2020,61736,1732,51999
06/29/2020,62189,1740,52426
06/30/2020,62787,1763,52944
07/01/2020,63203,1786,53286
07/02/2020,63735,1816,53423
07/03/2020,64393,1845,53837
07/04/2020,65109,1849,54519
07/05/2020,65748,1853,55111
07/06/2020,66102,1853,55440
07/07/2020,66740,1881,55946
07/08/2020,67375,1905,56459
