date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,442,30,411
03/13/2020,568,36,531
03/14/2020,642,39,568
03/15/2020,769,41,685
03/16/2020,904,47,800
03/17/2020,1012,54,869
03/18/2020,1187,66,1032
03/19/2020,1376,73,1214
03/20/2020,1524,82,1318
03/21/2020,1793,93,1576
03/22/2020,1996,94,1778
03/23/2020,2221,108,1989
03/24/2020,2469,121,2224
03/25/2020,2588,130,2334
03/26/2020,3207,144,2939
03/27/2020,3700,171,3405
03/28/2020,4310,185,4001
03/29/2020,4896,196,4280
03/30/2020,5250,206,4554
03/31/2020,5482,220,4772
04/01/2020,5844,244,5037
04/02/2020,6585,265,5757
04/03/2020,6966,283,6120
04/04/2020,7591,305,6723
04/05/2020,7984,328,7032
04/06/2020,8326,369,7118
04/07/2020,8682,390,7453
04/08/2020,9342,417,8011
04/09/2020,9652,440,8138
04/10/2020,10195,467,8654
04/11/2020,10448,478,8896
04/12/2020,10530,489,8716
04/13/2020,10703,506,8872
04/14/2020,10795,529,8842
04/15/2020,10910,548,8884
04/16/2020,11034,561,8758
04/17/2020,11159,577,8867
04/18/2020,11611,600,9296
04/19/2020,11825,610,9437
04/20/2020,12085,626,9677
04/21/2020,12282,654,9846
04/22/2020,12494,664,10048
04/23/2020,12753,681,10290
04/24/2020,13176,692,10677
04/25/2020,13319,706,10806
04/26/2020,13521,717,10997
04/27/2020,13686,731,11148
04/28/2020,13842,750,11241
04/29/2020,14070,764,11455
04/30/2020,14327,776,11700
05/01/2020,15161,792,12518
05/02/2020,15512,796,12865
05/03/2020,15776,797,13128
05/04/2020,16136,806,12898
05/05/2020,16360,828,12987
05/06/2020,16694,838,13224
05/07/2020,16943,860,13397
05/08/2020,17196,870,13579
05/09/2020,17426,878,12922
05/10/2020,17610,888,13076
05/11/2020,17890,907,13265
05/12/2020,18064,918,13144
05/13/2020,18281,929,13086
05/14/2020,18660,945,13303
05/15/2020,18779,956,13294
05/16/2020,19211,965,13476
05/17/2020,19283,966,13444
05/18/2020,19510,969,13533
05/19/2020,19639,978,13501
05/20/2020,19822,985,13654
05/21/2020,20026,1013,13726
05/22/2020,20176,1015,13808
05/23/2020,20395,1017,13979
05/24/2020,20595,1025,14156
05/25/2020,20865,1029,14237
05/26/2020,21209,1032,14223
05/27/2020,21422,1039,14399
05/28/2020,21821,1050,14750
05/29/2020,22097,1060,14900
05/30/2020,22214,1067,15005
05/31/2020,22471,1070,15207
06/01/2020,22840,1076,15262
06/02/2020,23168,1082,15181
06/03/2020,23484,1085,15286
06/04/2020,23847,1093,15422
06/05/2020,24258,1103,15770
06/06/2020,24481,1105,15790
06/07/2020,24733,1105,15919
06/08/2020,25117,1113,16130
06/09/2020,25310,1123,16221
06/10/2020,25474,1126,16278
06/11/2020,25759,1139,16349
06/12/2020,26087,1142,16612
06/13/2020,26324,1155,16598
06/14/2020,26573,1159,16785
06/15/2020,26901,1162,16976
06/16/2020,27174,1171,17220
06/17/2020,27514,1173,17429
06/18/2020,28028,1183,17789
06/19/2020,28526,1183,18179
06/20/2020,28849,1192,18380
06/21/2020,29097,1203,18591
06/22/2020,29718,1212,18830
06/23/2020,30225,1219,19325
06/24/2020,30840,1228,19800
06/25/2020,31432,1234,19911
06/26/2020,31863,1239,20303
06/27/2020,32408,1244,20829
06/28/2020,32698,1244,20796
06/29/2020,33391,1254,21415
06/30/2020,33888,1265,21787
07/01/2020,34595,1272,22390
07/02/2020,35237,1275,22879
07/03/2020,35641,1285,23259
07/04/2020,36137,1287,23423
07/05/2020,36708,1292,23814
07/06/2020,37885,1303,24384
07/07/2020,38364,1316,24602
07/08/2020,38998,1326,25201
07/09/2020,39686,1340,25678
07/10/2020,40435,1354,26208
07/11/2020,40790,1354,26552
07/12/2020,41405,1354,26829
07/13/2020,42741,1367,27710
07/14/2020,43577,1372,28337
07/15/2020,44350,1392,28882
07/16/2020,45559,1399,29792
07/17/2020,46506,1409,30237
07/18/2020,47137,1418,30795
07/19/2020,48131,1421,31208
07/20/2020,49225,1431,31276
07/21/2020,50003,1441,31925
07/22/2020,50722,1443,32460
07/23/2020,51530,1455,33147
07/24/2020,52508,1470,33877
07/25/2020,53237,1472,34584
07/26/2020,53906,1476,35145
07/27/2020,54948,1491,35919
07/28/2020,55824,1516,36416
07/29/2020,56547,1519,36961
07/30/2020,57466,1532,37467
07/31/2020,58240,1537,37967
08/01/2020,58954,1557,38286
08/02/2020,59154,1557,38302
08/03/2020,60239,1568,38666
08/04/2020,61161,1589,39375
08/05/2020,61850,1591,39888
08/06/2020,62709,1618,40503
08/07/2020,63187,1620,40544
08/08/2020,64097,1652,41187
08/09/2020,64570,1653,41304
08/10/2020,65453,1661,41780
08/11/2020,65940,1680,42006
08/12/2020,66497,1685,42317
08/13/2020,67287,1697,42780
08/14/2020,68018,1715,42899
08/15/2020,68477,1724,43223
08/16/2020,68999,1738,43623
08/17/2020,69651,1742,43452
08/18/2020,70145,1766,43430
08/19/2020,70708,1778,43704
08/20/2020,71353,1792,43989
08/21/2020,71875,1805,44132
08/22/2020,72386,1812,44390
08/23/2020,72751,1818,44547
08/24/2020,73357,1822,44520
08/25/2020,73706,1831,44548
08/26/2020,74268,1835,44787
08/27/2020,74785,1845,44952
08/28/2020,75443,1859,45295
08/29/2020,75810,1859,45526
08/30/2020,76080,1859,45723
08/31/2020,76661,1869,43014
09/01/2020,77008,1884,43093
09/02/2020,77497,1888,43366
09/03/2020,78116,1898,43718
09/04/2020,78684,1906,43865
09/05/2020,78996,1906,43958
09/06/2020,79303,1906,44103
09/07/2020,79509,1906,44224
09/08/2020,80020,1906,41133
09/09/2020,80480,1930,41374
09/10/2020,80999,1937,41588
09/11/2020,81490,1943,41787
09/12/2020,81836,1943,41978
09/13/2020,82030,1943,42095
09/14/2020,82732,1957,41948
09/15/2020,83095,1966,42169
09/16/2020,83587,1971,42383
09/17/2020,83956,1982,42530
09/18/2020,84457,1988,42830
09/19/2020,84685,1988,42990
09/20/2020,84989,1988,43190
09/21/2020,85720,2005,43623
09/22/2020,86037,2019,43773
09/23/2020,86923,2029,43405
09/24/2020,87453,2030,43694
09/25/2020,88004,2048,44074
09/26/2020,88336,2048,44293
09/27/2020,88629,2048,44563
09/28/2020,89429,2051,44901
09/29/2020,89856,2072,45137
09/30/2020,90393,2075,45535
10/01/2020,91037,2080,45954
10/02/2020,91723,2092,46343
10/03/2020,92088,2092,46608
10/04/2020,92315,2092,46779
10/05/2020,93194,2106,46850
10/06/2020,93678,2115,47146
10/07/2020,94288,2126,47565
10/08/2020,95028,2133,48107
10/09/2020,95639,2139,48466
10/10/2020,95962,2139,48720
10/11/2020,96177,2139,48867
10/12/2020,97088,2141,49448
10/13/2020,98027,2161,49812
10/14/2020,98783,2171,50348
10/15/2020,99530,2182,50873
10/16/2020,100223,2189,51312
10/17/2020,100728,2193,51684
10/18/2020,101054,2193,51966
10/19/2020,102005,2208,52410
10/20/2020,102510,2227,52287
10/21/2020,103335,2231,52487
10/22/2020,104061,2234,53005
10/23/2020,104867,2242,53567
10/24/2020,105414,2242,54067
10/25/2020,105886,2242,54350
10/26/2020,107045,2272,54977
10/27/2020,107638,2282,55329
10/28/2020,108435,2296,55446
10/29/2020,109294,2304,56057
10/30/2020,110396,2308,56868
10/31/2020,111090,2308,57478
11/01/2020,111571,2308,57936
11/02/2020,113242,2323,58856
11/03/2020,114027,2346,59333
11/04/2020,115452,2364,60460
11/05/2020,116827,2378,61351
11/06/2020,118487,2381,62122
11/07/2020,119547,2388,62971
11/08/2020,120740,2389,63993
11/09/2020,123105,2411,65606
11/10/2020,124611,2424,66680
11/11/2020,125330,2427,67343
11/12/2020,128245,2446,69628
11/13/2020,130782,2465,71565
11/14/2020,132001,2465,72690
11/15/2020,133879,2466,74309
11/16/2020,137238,2492,76385
11/17/2020,139453,2516,78014
11/18/2020,141132,2535,79176
11/19/2020,143637,2546,80983
11/20/2020,145951,2567,82870
11/21/2020,147336,2567,83914
11/22/2020,148973,2567,85433
11/23/2020,154534,2601,88861
11/24/2020,157024,2631,90690
11/25/2020,160228,2646,93271
11/26/2020,161326,2648,94126
11/27/2020,164331,2651,96627
11/28/2020,165787,2651,97827
11/29/2020,167348,2651,99324
11/30/2020,171793,2714,102009
12/01/2020,174273,2736,103944
12/02/2020,177088,2785,105956
12/03/2020,179178,2832,107582
12/04/2020,181661,2838,109190
12/05/2020,183108,2838,110272
12/06/2020,184421,2849,111055
12/07/2020,191036,2883,115737
12/08/2020,194370,2910,118286
12/09/2020,196902,2951,119947
12/10/2020,199796,2969,121381
12/11/2020,202802,2992,123005
12/12/2020,206171,3007,125717
12/13/2020,207945,3009,127112
12/14/2020,211173,3043,126479
12/15/2020,212768,3083,127311
12/16/2020,216727,3132,129967
12/17/2020,219705,3181,132088
12/18/2020,223470,3194,132932
12/19/2020,225190,3210,133993
12/20/2020,225648,3211,133816
12/21/2020,229651,3230,136605
12/22/2020,231158,3271,136173
12/23/2020,233614,3307,137440
12/24/2020,236128,3334,139733
12/25/2020,236201,3345,139506
12/26/2020,239552,3360,141585
12/27/2020,239683,3360,141264
12/28/2020,242495,3390,140639
12/29/2020,244353,3480,141339
12/30/2020,246182,3530,142078
12/31/2020,249800,3554,144787
01/01/2021,250821,3562,145311
01/02/2021,252970,3562,146673
01/03/2021,256645,3563,149981
01/04/2021,259885,3597,147569
01/05/2021,262453,3652,148922
01/06/2021,264606,3711,149857
01/07/2021,267779,3748,152148
01/08/2021,271989,3797,155447
01/09/2021,274677,3806,157532
01/10/2021,275072,3807,157727
01/11/2021,279789,3825,161378
01/12/2021,282390,3884,160102
01/13/2021,284738,3911,161592
01/14/2021,287060,3953,163074
01/15/2021,289361,3953,164069
01/16/2021,289868,3984,163932
01/17/2021,292154,3984,166218
01/18/2021,292618,3987,165793
01/19/2021,295535,4029,159167
01/20/2021,297640,4041,159789
01/21/2021,299556,4129,160313
01/22/2021,301678,4171,161701
01/23/2021,303313,4176,162981
01/24/2021,303491,4176,162882
01/25/2021,305574,4204,162771
01/26/2021,306997,4245,162885
01/27/2021,308860,4281,163559
01/28/2021,311302,4319,164603
01/29/2021,313360,4357,165908
01/30/2021,314670,4372,166133
01/31/2021,314984,4373,165812
02/01/2021,317084,4398,165656
02/02/2021,318396,4404,166030
02/03/2021,319882,4454,166531
02/04/2021,321386,4484,166837
02/05/2021,322861,4523,167014
02/06/2021,323396,4531,167094
02/07/2021,323595,4535,167149
02/08/2021,326193,4540,167573
02/09/2021,327060,4623,167693
02/10/2021,327933,4662,166436
02/11/2021,329047,4679,166924
02/12/2021,330162,4722,167044
02/13/2021,330998,4722,167432
02/14/2021,331192,4725,166964
02/15/2021,331343,4725,166888
02/16/2021,333007,4753,166923
02/17/2021,334168,4800,167443
02/18/2021,335261,4842,167812
02/19/2021,336127,4861,168014
02/20/2021,336860,4861,168479
02/21/2021,336988,4861,168426
02/22/2021,338206,4899,168463
02/23/2021,338965,4917,168013
02/24/2021,339841,4963,168404
02/25/2021,340957,4983,169137
02/26/2021,342040,4996,169922
02/27/2021,342784,4996,170049
02/28/2021,342856,4996,170000
03/01/2021,343855,5008,169325
03/02/2021,344660,5031,169611
03/03/2021,345374,5051,169924
03/04/2021,346269,5088,170203
03/05/2021,347016,5097,170622
03/06/2021,347613,5099,171003
03/07/2021,347703,5099,171023
03/08/2021,348825,5119,171310
03/09/2021,349510,5135,171642
03/10/2021,350221,5150,171923
03/11/2021,350994,5160,172482
03/12/2021,351763,5176,172741
03/13/2021,352434,5176,173323
03/14/2021,352543,5176,173268
03/15/2021,353666,5186,173775
