date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,0,0,0
03/13/2020,0,0,0
03/14/2020,0,0,0
03/15/2020,0,0,0
03/16/2020,0,0,0
03/17/2020,1,0,1
03/18/2020,1,0,1
03/19/2020,2,0,2
03/20/2020,7,0,7
03/21/2020,11,0,11
03/22/2020,12,0,12
03/23/2020,16,0,16
03/24/2020,20,0,20
03/25/2020,52,0,52
03/26/2020,76,0,76
03/27/2020,96,0,96
03/28/2020,113,0,113
03/29/2020,124,1,123
03/30/2020,145,1,144
03/31/2020,162,1,161
04/01/2020,191,2,189
04/02/2020,217,2,215
04/03/2020,237,2,235
04/04/2020,282,2,280
04/05/2020,324,3,321
04/06/2020,345,4,341
04/07/2020,412,4,408
04/08/2020,483,4,479
04/09/2020,523,5,518
04/10/2020,574,5,512
04/11/2020,591,6,528
04/12/2020,611,8,520
04/13/2020,633,9,539
04/14/2020,694,10,537
04/15/2020,718,12,559
04/16/2020,739,13,579
04/17/2020,775,16,612
04/18/2020,825,18,582
04/19/2020,890,20,645
04/20/2020,902,24,653
04/21/2020,929,26,678
04/22/2020,963,29,709
04/23/2020,981,31,725
04/24/2020,1010,32,753
04/25/2020,1025,33,767
04/26/2020,1044,34,785
04/27/2020,1063,36,802
04/28/2020,1095,38,576
04/29/2020,1109,40,588
04/30/2020,1125,44,600
05/01/2020,1151,47,623
05/02/2020,1184,50,653
05/03/2020,1195,50,664
05/04/2020,1224,50,602
05/05/2020,1242,50,620
05/06/2020,1276,51,509
05/07/2020,1297,51,530
05/08/2020,1323,52,533
05/09/2020,1347,53,556
05/10/2020,1362,54,570
05/11/2020,1369,57,509
05/12/2020,1378,58,507
05/13/2020,1404,59,532
05/14/2020,1434,62,559
05/15/2020,1447,64,494
05/16/2020,1457,64,504
05/17/2020,1490,67,504
05/18/2020,1502,68,515
05/19/2020,1514,68,496
05/20/2020,1567,69,521
05/21/2020,1603,71,555
05/22/2020,1705,72,656
05/23/2020,1729,72,547
05/24/2020,1771,72,589
05/25/2020,1782,73,599
05/26/2020,1854,74,600
05/27/2020,1899,74,618
05/28/2020,1935,74,629
05/29/2020,1972,74,624
05/30/2020,1989,75,615
05/31/2020,2010,75,632
06/01/2020,2028,76,620
06/02/2020,2056,78,605
06/03/2020,2077,78,601
06/04/2020,2102,79,599
06/05/2020,2119,84,590
06/06/2020,2136,84,603
06/07/2020,2144,84,609
06/08/2020,2161,84,605
06/09/2020,2179,84,613
06/10/2020,2193,85,601
06/11/2020,2217,86,583
06/12/2020,2249,88,593
06/13/2020,2274,88,615
06/14/2020,2290,88,624
06/15/2020,2322,88,627
06/16/2020,2341,88,617
06/17/2020,2376,88,634
06/18/2020,2418,88,665
06/19/2020,2468,88,711
06/20/2020,2500,88,740
06/21/2020,2543,89,778
06/22/2020,2571,90,755
06/23/2020,2593,92,688
06/24/2020,2629,92,682
06/25/2020,2694,92,700
06/26/2020,2730,92,636
06/27/2020,2782,93,633
06/28/2020,2832,93,630
06/29/2020,2870,93,581
06/30/2020,2905,93,540
07/01/2020,2979,93,564
07/02/2020,3053,93,580
07/03/2020,3126,93,637
07/04/2020,3205,94,693
07/05/2020,3335,95,806
07/06/2020,3442,95,829
07/07/2020,3505,95,810
07/08/2020,3707,95,964
07/09/2020,3826,95,1013
07/10/2020,3983,95,1132
07/11/2020,4146,96,1252
07/12/2020,4244,96,1329
07/13/2020,4313,97,1333
07/14/2020,4407,97,1328
07/15/2020,4557,98,1460
07/16/2020,4657,99,1430
07/17/2020,4783,100,1555
07/18/2020,4922,100,1486
07/19/2020,5042,100,1569
07/20/2020,5142,100,1576
07/21/2020,5199,101,1552
07/22/2020,5461,102,1594
07/23/2020,5550,103,1534
07/24/2020,5695,103,1579
07/25/2020,5821,103,1603
07/26/2020,5960,103,1689
07/27/2020,6054,106,1616
07/28/2020,6173,111,1581
07/29/2020,6326,112,1625
07/30/2020,6422,115,1604
07/31/2020,6642,116,1711
08/01/2020,6735,116,1761
08/02/2020,6854,117,1840
08/03/2020,6973,117,1938
08/04/2020,7051,124,1865
08/05/2020,7159,124,1817
08/06/2020,7277,124,1823
08/07/2020,7433,127,1796
08/08/2020,7563,131,1823
08/09/2020,7694,139,1877
08/10/2020,7754,141,1914
08/11/2020,7875,147,1865
08/12/2020,8008,153,1895
08/13/2020,8151,153,1953
08/14/2020,8274,157,1973
08/15/2020,8457,160,1999
08/16/2020,8564,160,1975
08/17/2020,8632,160,1941
08/18/2020,8731,164,1830
08/19/2020,8801,166,1726
08/20/2020,8982,166,1806
08/21/2020,9066,170,1756
08/22/2020,9185,176,1702
08/23/2020,9272,178,1736
08/24/2020,9312,179,1748
08/25/2020,9395,187,1722
08/26/2020,9540,190,1749
08/27/2020,9633,199,1661
08/28/2020,9824,202,1763
08/29/2020,9967,212,1820
08/30/2020,10110,213,1914
08/31/2020,10250,214,2019
09/01/2020,10507,222,2122
09/02/2020,10642,228,2148
09/03/2020,10845,237,2266
09/04/2020,11037,243,2344
09/05/2020,11289,243,2530
09/06/2020,11412,246,2610
09/07/2020,11575,247,2747
09/08/2020,11661,250,2785
09/09/2020,11808,254,2806
09/10/2020,12017,257,2856
09/11/2020,12174,263,2849
09/12/2020,12521,265,3031
09/13/2020,12699,266,3143
09/14/2020,12820,275,3184
09/15/2020,12976,280,3160
09/16/2020,13196,290,3236
09/17/2020,13430,294,3332
09/18/2020,13683,297,3375
09/19/2020,13874,308,3411
09/20/2020,14054,310,3517
09/21/2020,14171,312,3542
09/22/2020,14384,317,3543
09/23/2020,14504,319,3464
09/24/2020,14706,325,3550
09/25/2020,14953,330,3655
09/26/2020,15158,332,3705
