date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,8,0,7
03/13/2020,19,0,18
03/14/2020,27,0,26
03/15/2020,33,0,32
03/16/2020,48,0,47
03/17/2020,73,0,72
03/18/2020,111,0,110
03/19/2020,159,0,158
03/20/2020,210,3,206
03/21/2020,281,4,276
03/22/2020,381,4,376
03/23/2020,416,5,410
03/24/2020,457,5,451
03/25/2020,630,7,621
03/26/2020,707,10,695
03/27/2020,842,14,826
03/28/2020,989,15,972
03/29/2020,1154,17,1135
03/30/2020,1285,23,1260
03/31/2020,1351,25,1324
04/01/2020,1550,25,1523
04/02/2020,1730,38,1690
04/03/2020,1916,46,1868
04/04/2020,2112,56,2054
04/05/2020,2267,68,2197
04/06/2020,2440,77,2361
04/07/2020,2578,92,2484
04/08/2020,2756,103,2588
04/09/2020,2885,111,2709
04/10/2020,3068,128,2875
04/11/2020,3213,137,3011
04/12/2020,3341,144,3132
04/13/2020,3428,154,3209
04/14/2020,3555,170,3298
04/15/2020,3721,182,3452
04/16/2020,3875,197,3591
04/17/2020,4045,205,3753
04/18/2020,4199,211,3901
04/19/2020,4346,220,3932
04/20/2020,4499,230,4075
04/21/2020,4620,242,4184
04/22/2020,4845,246,4405
04/23/2020,5052,257,4601
04/24/2020,5356,262,2781
04/25/2020,5687,266,3108
04/26/2020,5911,272,3326
04/27/2020,6081,281,3487
04/28/2020,6289,300,3676
04/29/2020,6520,308,3002
04/30/2020,6854,316,3328
05/01/2020,7314,327,3777
05/02/2020,7660,334,4116
05/03/2020,7964,339,3902
05/04/2020,8236,340,3923
05/05/2020,8566,353,4082
05/06/2020,8901,362,4191
05/07/2020,9215,374,4493
05/08/2020,9590,384,4858
05/09/2020,9939,398,5193
05/10/2020,10219,400,4805
05/11/2020,10418,409,4995
05/12/2020,10611,418,5179
05/13/2020,10902,421,4808
05/14/2020,11275,434,5168
05/15/2020,11685,445,5047
05/16/2020,12187,453,5541
05/17/2020,12543,453,5317
05/18/2020,12687,459,5455
05/19/2020,12885,467,5645
05/20/2020,13413,481,5204
05/21/2020,13885,487,5670
05/22/2020,14396,496,5551
05/23/2020,14877,507,6021
05/24/2020,15277,510,6418
05/25/2020,15584,514,6721
05/26/2020,15863,517,5941
05/27/2020,16462,539,6077
05/28/2020,16974,550,6040
05/29/2020,17707,568,6755
05/30/2020,18230,588,6304
05/31/2020,18403,592,6165
06/01/2020,18543,595,6302
06/02/2020,18917,607,6138
06/03/2020,19400,616,6612
06/04/2020,19892,626,6286
06/05/2020,20249,633,6279
06/06/2020,20571,645,6156
06/07/2020,20835,647,6141
06/08/2020,21038,646,6150
06/09/2020,21308,661,6064
06/10/2020,21593,671,5923
06/11/2020,21926,682,6245
06/12/2020,22246,689,5774
06/13/2020,22518,691,5596
06/14/2020,22758,692,5508
06/15/2020,22932,694,5401
06/16/2020,23198,703,5373
06/17/2020,23454,712,5620
06/18/2020,23876,719,5544
06/19/2020,24154,730,5811
06/20/2020,24539,744,4844
06/21/2020,24819,744,4765
06/22/2020,25068,745,4780
06/23/2020,25331,750,4729
06/24/2020,25763,757,4885
06/25/2020,26227,766,4904
06/26/2020,26747,766,4807
06/27/2020,27286,777,4903
06/28/2020,27743,777,5013
06/29/2020,28058,777,5064
06/30/2020,28659,784,5288
07/01/2020,29199,786,5324
07/02/2020,29738,793,5418
07/03/2020,30317,796,5478
07/04/2020,31055,796,5768
07/05/2020,31577,796,5882
07/06/2020,32061,796,6023
07/07/2020,32556,805,5993
07/08/2020,33154,807,6042
07/09/2020,33908,809,6307
07/10/2020,34753,814,6610
07/11/2020,35679,821,6949
07/12/2020,36448,821,7309
07/13/2020,36942,821,7451
07/14/2020,37906,826,7805
07/15/2020,38727,827,7977
07/16/2020,39627,831,8241
07/17/2020,40507,833,8416
07/18/2020,41485,843,8638
07/19/2020,42315,844,8843
07/20/2020,43018,846,9042
07/21/2020,44135,859,9374
07/22/2020,44847,865,9300
