date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,1,0,1
03/13/2020,1,0,1
03/14/2020,3,0,3
03/15/2020,3,0,3
03/16/2020,3,0,3
03/17/2020,11,0,11
03/18/2020,16,0,16
03/19/2020,18,0,18
03/20/2020,19,0,19
03/21/2020,23,0,23
03/22/2020,24,0,24
03/23/2020,26,0,26
03/24/2020,30,0,30
03/25/2020,49,0,49
03/26/2020,56,0,56
03/27/2020,73,0,73
03/28/2020,84,0,84
03/29/2020,87,0,87
03/30/2020,95,0,95
03/31/2020,120,0,94
04/01/2020,137,0,111
04/02/2020,150,0,124
04/03/2020,166,0,140
04/04/2020,187,0,161
04/05/2020,200,0,150
04/06/2020,212,0,160
04/07/2020,221,0,169
04/08/2020,230,0,136
04/09/2020,239,0,145
04/10/2020,253,0,124
04/11/2020,261,0,124
04/12/2020,270,0,133
04/13/2020,275,1,134
04/14/2020,282,1,117
04/15/2020,288,2,110
04/16/2020,401,2,223
04/17/2020,412,2,204
04/18/2020,422,2,214
04/19/2020,426,2,191
04/20/2020,428,2,189
04/21/2020,441,6,181
04/22/2020,447,6,166
04/23/2020,453,7,171
04/24/2020,473,7,145
04/25/2020,473,7,145
04/26/2020,502,7,174
04/27/2020,520,7,170
04/28/2020,536,7,186
04/29/2020,544,7,166
04/30/2020,559,7,181
05/01/2020,566,7,188
05/02/2020,579,7,181
05/03/2020,586,7,188
05/04/2020,596,7,184
05/05/2020,604,7,192
05/06/2020,631,7,208
05/07/2020,635,7,200
05/08/2020,644,7,209
05/09/2020,653,7,218
05/10/2020,662,7,227
05/11/2020,669,7,211
05/12/2020,675,7,217
05/13/2020,688,7,201
05/14/2020,701,7,214
05/15/2020,716,7,229
05/16/2020,741,7,236
05/17/2020,754,8,248
05/18/2020,766,10,252
05/19/2020,776,10,238
05/20/2020,787,11,242
05/21/2020,801,12,243
05/22/2020,803,12,240
05/23/2020,813,12,250
05/24/2020,838,12,251
05/25/2020,843,12,232
05/26/2020,850,13,230
05/27/2020,860,14,222
05/28/2020,876,15,227
05/29/2020,891,15,234
