date,Confirmed,Deaths,CurrentConfirmed
02/15/2020,15,0,12
02/16/2020,15,0,12
02/17/2020,15,0,12
02/18/2020,15,0,12
02/19/2020,15,0,12
02/20/2020,15,0,10
02/21/2020,35,0,29
02/22/2020,35,0,29
02/23/2020,35,0,28
02/24/2020,53,0,48
02/25/2020,57,0,51
02/26/2020,60,0,54
02/27/2020,60,0,54
02/28/2020,63,0,57
02/29/2020,68,1,60
03/01/2020,75,1,65
03/02/2020,100,6,85
03/03/2020,124,9,106
03/04/2020,158,11,138
03/05/2020,221,12,200
03/06/2020,319,15,289
03/07/2020,435,19,401
03/08/2020,541,22,504
03/09/2020,704,26,663
03/10/2020,994,30,949
03/11/2020,1301,38,1248
03/12/2020,2253,40,2205
03/13/2020,2880,47,2823
03/14/2020,3554,57,3447
03/15/2020,4481,72,4348
03/16/2020,5656,94,5486
03/17/2020,7694,121,7465
03/18/2020,10970,171,10684
03/19/2020,15885,240,15533
03/20/2020,22009,312,21545
03/21/2020,27265,377,26712
03/22/2020,37010,515,36310
03/23/2020,47995,696,46994
03/24/2020,59835,967,58466
03/25/2020,73702,1276,72007
03/26/2020,91898,1640,88359
03/27/2020,111240,2143,106527
03/28/2020,130860,2798,124782
03/29/2020,151303,3305,143388
03/30/2020,175254,4130,165559
03/31/2020,201332,5229,188779
04/01/2020,229067,6499,213604
04/02/2020,260030,7714,241794
04/03/2020,293456,9007,272026
04/04/2020,328395,10595,302985
04/05/2020,354907,12028,324759
04/06/2020,387406,13547,353958
04/07/2020,422630,15835,384859
04/08/2020,455682,18055,413237
04/09/2020,490152,20213,443938
04/10/2020,524781,22508,475468
04/11/2020,555108,24582,499855
04/12/2020,581550,26353,522265
04/13/2020,609299,28104,544545
04/14/2020,638757,30737,568806
04/15/2020,670814,33443,588132
04/16/2020,701446,35708,607431
04/17/2020,735359,38323,635464
04/18/2020,764466,40254,654064
04/19/2020,790243,41855,674456
04/20/2020,820048,43845,700222
04/21/2020,847395,46604,713510
04/22/2020,879835,49030,740781
04/23/2020,911686,51453,766462
04/24/2020,947808,53467,776330
04/25/2020,982789,55586,800395
04/26/2020,1009193,56769,823731
04/27/2020,1033092,58203,824905
04/28/2020,1059803,60757,844735
04/29/2020,1089439,63229,865665
04/30/2020,1121082,65520,886332
05/01/2020,1157263,67496,909757
05/02/2020,1186454,69236,923901
05/03/2020,1213350,70419,942595
05/04/2020,1238613,71769,954846
05/05/2020,1264679,74195,963733
05/06/2020,1290481,76784,972364
05/07/2020,1319820,78972,992843
05/08/2020,1349042,80716,1010653
05/09/2020,1374851,82185,1017639
05/10/2020,1395223,83423,1029319
05/11/2020,1414509,84509,1039654
05/12/2020,1438735,86425,1034935
05/13/2020,1461703,88297,1037436
05/14/2020,1489674,90102,1057462
05/15/2020,1517622,91767,1071961
05/16/2020,1541431,93025,1081370
05/17/2020,1561067,93919,1093750
05/18/2020,1584645,94950,1101785
05/19/2020,1606369,96541,1111843
05/20/2020,1629142,97989,1122364
05/21/2020,1657988,99446,1135376
05/22/2020,1683203,100780,1106467
05/23/2020,1705055,101822,1113349
05/24/2020,1724199,102452,1123290
05/25/2020,1743728,103108,1125468
05/26/2020,1763690,103887,1124599
05/27/2020,1784468,105449,1127389
05/28/2020,1808481,106693,1134115
05/29/2020,1834017,107933,1143938
05/30/2020,1858123,108974,1147495
05/31/2020,1878797,109646,1098452
06/01/2020,1897988,110350,1097290
06/02/2020,1920569,111497,1081009
06/03/2020,1941444,112610,1053820
06/04/2020,1964386,113664,1047793
06/05/2020,1990153,114653,1053732
06/06/2020,2013380,115387,1060106
06/07/2020,2032992,115789,1066987
06/08/2020,2051995,116373,1068535
06/09/2020,2071642,117475,1068909
06/10/2020,2093029,118484,1063769
06/11/2020,2117027,119402,1075875
06/12/2020,2144745,120184,1073568
06/13/2020,2171262,120908,1082266
06/14/2020,2192112,121253,1088429
06/15/2020,2213136,121678,1085042
06/16/2020,2239666,122546,1093099
06/17/2020,2266575,123377,1097821
06/18/2020,2295645,124141,1112813
06/19/2020,2329649,124878,1116479
06/20/2020,2364011,125469,1129152
06/21/2020,2390945,125749,1145780
06/22/2020,2422913,126121,1152322
06/23/2020,2460187,126999,1169426
06/24/2020,2499741,127819,1185659
06/25/2020,2541176,128477,1212220
06/26/2020,2589560,129142,1241393
06/27/2020,2634420,129675,1268478
06/28/2020,2675945,129976,1296478
06/29/2020,2721718,130334,1316136
06/30/2020,2770002,131066,1337371
07/01/2020,2823828,131761,1369279
07/02/2020,2883578,132449,1401903
07/03/2020,2944804,133079,1441358
07/04/2020,2995989,133361,1468092
07/05/2020,3043569,133640,1487122
07/06/2020,3095998,134046,1507210
07/07/2020,3153796,135055,1534650
