日期,类别,省份,城市,新增确诊,新增死亡,新增治愈,累计确诊,累计死亡,累计治愈
20200110,省级,安徽,,,,,,,
20200110,省级,澳门,,,,,,,
20200110,省级,福建,,,,,,,
20200110,省级,甘肃,,,,,,,
20200110,省级,广西,,,,,,,
20200110,省级,贵州,,,,,,,
20200110,省级,海南,,,,,,,
20200110,省级,河北,,,,,,,
20200110,省级,黑龙江,,,,,,,
20200110,省级,湖北,,41,1,2,41,1,2
20200110,省级,湖南,,,,,,,
20200110,省级,吉林,,,,,,,
20200110,省级,江苏,,,,,,,
20200110,省级,江西,,,,,,,
20200110,省级,辽宁,,,,,,,
20200110,省级,内蒙古,,,,,,,
20200110,省级,宁夏,,,,,,,
20200110,省级,青海,,,,,,,
20200110,省级,山东,,,,,,,
20200110,省级,山西,,,,,,,
20200110,省级,陕西,,,,,,,
20200110,省级,上海,,,,,,,
20200110,省级,四川,,,,,,,
20200110,省级,台湾,,,,,,,
20200110,省级,天津,,,,,,,
20200110,省级,西藏,,,,,,,
20200110,省级,香港,,,,,,,
20200110,省级,新疆,,,,,,,
20200110,省级,云南,,,,,,,
20200110,省级,浙江,,,,,,,
20200110,省级,重庆,,,,,,,
20200110,省级,北京,,,,,,,
20200110,省级,河南,,,,,,,
20200110,省级,广东,,,,,,,
20200110,地区级,湖北,武汉,41,1,2,41,1,2
20200110,国家级,,,41,1,2,41,1,2
20200111,省级,安徽,,,,,,,
20200111,省级,澳门,,,,,,,
20200111,省级,福建,,,,,,,
20200111,省级,甘肃,,,,,,,
20200111,省级,广西,,,,,,,
20200111,省级,贵州,,,,,,,
20200111,省级,海南,,,,,,,
20200111,省级,河北,,,,,,,
20200111,省级,黑龙江,,,,,,,
20200111,省级,湖北,,,,4,41,1,6
20200111,省级,湖南,,,,,,,
20200111,省级,吉林,,,,,,,
20200111,省级,江苏,,,,,,,
20200111,省级,江西,,,,,,,
20200111,省级,辽宁,,,,,,,
20200111,省级,内蒙古,,,,,,,
20200111,省级,宁夏,,,,,,,
20200111,省级,青海,,,,,,,
20200111,省级,山东,,,,,,,
20200111,省级,山西,,,,,,,
20200111,省级,陕西,,,,,,,
20200111,省级,上海,,,,,,,
20200111,省级,四川,,,,,,,
20200111,省级,台湾,,,,,,,
20200111,省级,天津,,,,,,,
20200111,省级,西藏,,,,,,,
20200111,省级,香港,,,,,,,
20200111,省级,新疆,,,,,,,
20200111,省级,云南,,,,,,,
20200111,省级,浙江,,,,,,,
20200111,省级,重庆,,,,,,,
20200111,省级,北京,,,,,,,
20200111,省级,河南,,,,,,,
20200111,省级,广东,,,,,,,
20200111,地区级,湖北,武汉,,,4,41,1,6
