2020-01-01,武汉,4℃,59%,65
2020-01-01,黄冈,3℃,60%,76
2020-01-01,孝感,3℃,53%,74
2020-01-01,襄阳,0℃,48%,59
2020-01-01,随州,3℃,49%,60
2020-01-01,宜昌,2℃,58%,117
2020-01-01,荆州,4℃,58%,66
2020-01-01,荆门,3℃,45%,80
2020-01-01,鄂州,5℃,50%,82
2020-01-01,温州,6℃,56%,37
2020-01-01,黄石,4℃,46%,63
2020-01-01,咸宁,5℃,56%,50
2020-01-01,十堰,0℃,37%,59
2020-01-01,深圳,17℃,82%,64
2020-01-01,广州,18℃,59%,58
2020-01-01,仙桃,3℃,60%,-1
2020-01-01,长沙,3℃,75%,87
2020-01-01,杭州,0℃,77%,61
2020-01-01,恩施,7℃,64%,117
2020-01-01,台州,4℃,64%,41
2020-01-01,天门,3℃,59%,-1
2020-01-01,南昌,5℃,57%,55
2020-01-01,信阳,1℃,47%,79
2020-01-01,南阳,0℃,43%,78
2020-01-01,成都,8℃,96%,156
2020-01-01,宁波,5℃,61%,26
2020-01-01,郑州,0℃,27%,55
2020-01-01,合肥,-4℃,89%,63
2020-01-01,阜阳,0℃,52%,83
2020-01-01,九江,2℃,60%,51
2020-01-01,岳阳,4℃,70%,65
2020-01-01,南充,8℃,96%,117
2020-01-01,盐城,-3℃,91%,51
2020-01-01,茂名,19℃,67%,70
2020-01-01,西安,-3℃,63%,88
2020-01-01,邵阳,4℃,96%,139
2020-01-01,衡阳,5℃,90%,128
2020-01-01,达州,8℃,85%,152
2020-01-01,梅州,13℃,73%,50
2020-01-01,湛江,20℃,86%,70
2020-01-01,佛山,17℃,62%,59
2020-01-01,南宁,16℃,65%,58
2020-01-01,揭阳,14℃,80%,58
2020-01-01,周口,0℃,37%,64
2020-01-01,东莞,17℃,68%,65
2020-01-01,苏州,1℃,72%,24
2020-01-01,沈阳,-14℃,85%,60
2020-01-01,昆明,12℃,77%,38
2020-01-01,贵阳,8℃,100%,53
2020-01-01,南京,0℃,79%,53
2020-01-01,长春,-19℃,83%,104
2020-01-01,哈尔滨,-24℃,79%,109
2020-01-01,厦门,11℃,76%,50
2020-01-01,惠州,16℃,72%,58
2020-01-02,武汉,4℃,95%,94
