日期,地区,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,迁入指数,迁出指数,温度,湿度,aqi,医疗救治医院,发热门诊,人口
20200120,北京,3.0,0,0,5.0,0,0,7.0203348,19.6568208,1.0,24.83,27.13,106.0,101.0,1961.2
20200120,天津,0,0,0,0,0,0,2.769714,5.9718708,1.63,33.08,36.58,47.0,47.0,1293.82
20200120,石家庄,0,0,0,0,0,0,2.6225856,3.2802408,0.96,52.5,71.71,55.0,55.0,1016.38
20200120,太原,0,0,0,0,0,0,2.484918,3.5021808,-4.12,58.58,61.79,34.0,34.0,420.16
20200120,呼和浩特,0,0,0,0,0,0,0.9957492,1.4588748,-11.3,60.48,109.09,18.0,17.0,286.66
20200120,沈阳,0,0,0,0,0,0,2.4939576,3.466476,-10.52,65.74,69.3,22.0,21.0,810.62
20200120,长春,0,0,0,0,0,0,2.051406,2.2838436,-12.58,88.08,139.0,22.0,14.0,767.71
20200120,哈尔滨,0,0,0,0,0,0,2.57499,2.4294492,-14.96,78.29,329.62,63.0,63.0,1063.6
20200120,上海,2.0,0,0,2.0,0,0,5.3363772,18.708246,6.57,67.83,165.48,115.0,115.0,2301.91
20200120,南京,0,0,0,0,0,0,3.6541368,6.2712468,5.04,65.5,117.0,50.0,50.0,800.47
20200120,杭州,1.0,0,0,1.0,0,0,3.7394136,10.4407704,6.17,73.67,77.21,48.0,46.0,870.04
20200120,合肥,0,0,0,0,0,0,3.8725452,5.0290308,3.92,75.46,108.0,29.0,28.0,570.2
20200120,福州,0,0,0,0,0,0,1.8422316,3.4769412,11.58,72.96,35.92,202.0,199.0,711.54
20200120,南昌,0,0,0,0,0,0,2.7202068,2.8367172,7.62,72.17,97.42,26.0,25.0,504.26
20200120,济南,0,0,0,0,0,0,2.722086,3.9885048,1.96,48.71,120.71,55.0,55.0,681.4
20200120,郑州,0,0,0,0,0,0,4.8667068,9.7224948,4.39,39.48,69.35,62.0,60.0,862.65
20200120,长沙,0,0,0,0,0,0,4.2117084,7.617888,7.0,77.21,115.0,46.0,46.0,704.41
20200120,广州,0,0,0,0,0,0,6.8798808,19.1640168,13.96,66.29,35.46,115.0,113.0,1270.08
20200120,南宁,0,0,0,0,0,0,3.7779372,4.573422,10.46,91.46,72.79,13.0,13.0,666.16
20200120,海口,0,0,0,0,0,0,1.6452072,2.3620896,20.96,80.75,35.0,27.0,27.0,204.62
20200120,重庆,0,0,0,0,0,0,9.133074,6.7183992,9.08,70.17,88.21,141.0,129.0,2884.62
20200120,成都,0,0,0,0,0,0,7.0001172,14.651928,8.48,73.96,100.61,313.0,309.0,1404.76
20200120,贵阳,0,0,0,0,0,0,2.9093256,3.8049264,4.5,98.75,36.38,35.0,29.0,432.46
20200120,昆明,0,0,0,0,0,0,3.3279012,5.5593216,9.33,56.5,38.12,49.0,48.0,643.2
20200120,拉萨,0,0,0,0,0,0,0.2577096,0.4083696,-0.78,19.35,27.35,2.0,0,55.94
20200120,西安,0,0,0,0,0,0,5.4210384,8.49042,2.88,61.25,79.88,86.0,82.0,846.78
20200120,兰州,0,0,0,0,0,0,1.6185096,2.0056896,-1.54,55.54,80.17,12.0,0,361.62
20200120,西宁,0,0,0,0,0,0,0.8711712,1.092366,-6.0,67.04,98.75,12.0,11.0,220.87
20200120,银川,0,0,0,0,0,0,1.2053124,1.5466788,-3.48,42.35,50.43,23.0,23.0,199.31
20200120,乌鲁木齐,0,0,0,0,0,0,1.4658084,2.091906,-6.38,66.46,129.29,41.0,41.0,311.03
20200121,北京,5.0,0,0,10.0,0,0,7.075512,23.8547592,-1.04,44.83,58.39,106.0,101.0,1961.2
20200121,天津,2.0,0,0,2.0,0,0,3.0176712,7.012818,1.38,58.04,53.88,47.0,47.0,1293.82
20200121,石家庄,0,0,0,0,0,0,2.9885112,3.9110688,-0.67,62.33,82.25,55.0,55.0,1016.38
20200121,太原,0,0,0,0,0,0,2.5355916,4.3448076,-1.96,63.83,105.0,34.0,34.0,420.16
20200121,呼和浩特,0,0,0,0,0,0,1.1029284,1.755756,-7.33,59.42,100.83,18.0,17.0,286.66
20200121,沈阳,0,0,0,0,0,0,2.7392904,4.4210124,-6.79,60.71,64.29,22.0,21.0,810.62
20200121,长春,0,0,0,0,0,0,2.3650056,2.955852,-6.29,61.0,53.58,22.0,14.0,767.71
20200121,哈尔滨,0,0,0,0,0,0,3.0350052,3.050784,-9.92,69.71,92.96,63.0,63.0,1063.6
20200121,上海,7.0,0,0,9.0,0,0,5.2280964,22.5761256,8.08,81.38,136.79,115.0,115.0,2301.91
20200121,南京,0,0,0,0,0,0,3.802464,7.9508952,4.75,83.88,149.92,50.0,50.0,800.47
20200121,杭州,0,0,0,1.0,0,0,3.8153268,12.0841956,6.58,75.37,123.5,48.0,46.0,870.04
20200121,合肥,1.0,0,0,1.0,0,0,4.726674,6.459426,3.04,90.38,169.21,29.0,28.0,570.2
20200121,福州,0,0,0,0,0,0,2.0034216,4.067658,12.37,64.58,56.38,202.0,199.0,711.54
20200121,南昌,0,0,0,0,0,0,2.9305152,3.3349968,10.08,71.54,96.33,26.0,25.0,504.26
20200121,济南,0,0,0,0,0,0,3.0182868,5.3128548,3.96,49.79,119.08,55.0,55.0,681.4
20200121,郑州,1.0,0,0,1.0,0,0,5.3325216,11.9092356,2.25,64.83,154.04,62.0,60.0,862.65
20200121,长沙,1.0,0,0,1.0,0,0,4.8143484,9.70137,9.38,73.67,90.87,46.0,46.0,704.41
20200121,广州,2.0,0,0,2.0,0,0,7.0609644,22.0308984,17.35,72.52,52.96,115.0,113.0,1270.08
20200121,南宁,0,0,0,0,0,0,4.0161744,5.6927448,12.67,100.0,67.54,13.0,13.0,666.16
20200121,海口,0,0,0,0,0,0,1.6825644,2.91357,21.54,77.17,28.0,27.0,27.0,204.62
20200121,重庆,6.0,0,0,6.0,0,0,10.562724,8.1833328,10.25,71.88,83.42,141.0,129.0,2884.62
20200121,成都,1.0,0,0,1.0,0,0,7.5191328,19.1284092,8.67,72.71,120.37,313.0,309.0,1404.76
20200121,贵阳,0,0,0,0,0,0,3.0782592,4.846554,11.25,87.33,30.08,35.0,29.0,432.46
